"   Data","   Vazao (L/s)","   Succao (mca)","   Recalque (mca)","   Ligacoes "
"2015-07-02 07:00:00","2.1597223281860352","50.775001525878906","97.050003051757812","0.0"
"2015-07-02 08:00:00","2.6041667461395264","57.424999237060547","103.125","0.0"
"2015-07-02 09:00:00","2.6180555820465088","60.5","106.44999694824219","0.0"
"2015-07-02 10:00:00","2.7569444179534912","60.575000762939453","106.44999694824219","0.0"
"2015-07-02 11:00:00","3.0","60.150001525878906","105.82499694824219","0.0"
"2015-07-02 12:00:00","4.125","58.299999237060547","103.30000305175781","0.0"
"2015-07-02 13:00:00","5.1041665077209473","56.400001525878906","100.57499694824219","0.0"
"2015-07-02 14:00:00","6.2291665077209473","53.599998474121094","97.074996948242187","0.0"
"2015-07-02 15:00:00","6.25","53.900001525878906","97.224998474121094","0.0"
"2015-07-02 16:00:00","6.6944446563720703","53.299999237060547","95.5","0.0"
"2015-07-02 17:00:00","6.1527776718139648","50.150001525878906","93.650001525878906","0.0"
"2015-07-02 18:00:00","6.0138888359069824","45.950000762939453","89.550003051757813","0.0"
"2015-07-02 19:00:00","5.9583334922790527","45.700000762939453","89.324996948242188","0.0"
"2015-07-02 20:00:00","5.4861111640930176","46.349998474121094","90.625","0.0"
"2015-07-02 21:00:00","4.6180553436279297","47.599998474121094","92.300003051757813","0.0"
"2015-07-02 22:00:00","3.8958332538604736","48.700000762939453","93.949996948242187","0.0"
"2015-07-02 23:00:00","3.5833332538604736","49.174999237060547","94.824996948242188","0.0"
"2015-07-03 00:00:00","3.3611111640930176","49.599998474121094","95.0","0.0"
"2015-07-03 01:00:00","3.1319444179534912","49.674999237060547","95.175003051757812","0.0"
"2015-07-03 02:00:00","3.4305555820465088","49.325000762939453","95.224998474121094","0.0"
"2015-07-03 03:00:00","2.8819444179534912","50.25","95.875","0.0"
"2015-07-03 04:00:00","2.8472223281860352","50.200000762939453","96.074996948242188","0.0"
"2015-07-03 05:00:00","2.625","50.125","96.275001525878906","0.0"
"2015-07-03 06:00:00","2.3541667461395264","50.799999237060547","96.449996948242188","0.0"
